Wavelength,Intensity
N/A,643
N/A,638
N/A,650
N/A,662
N/A,646
N/A,653
N/A,660
N/A,657
N/A,647
N/A,633
N/A,655
N/A,645
N/A,649
N/A,652
N/A,637
N/A,647
N/A,665
N/A,671
N/A,665
N/A,651
N/A,648
N/A,690
N/A,666
N/A,672
N/A,657
N/A,655
N/A,680
N/A,657
N/A,653
N/A,677
N/A,691
N/A,672
N/A,671
N/A,666
N/A,690
N/A,690
N/A,688
N/A,670
N/A,695
N/A,686
N/A,691
N/A,677
N/A,706
N/A,686
N/A,702
N/A,704
N/A,696
N/A,711
N/A,695
N/A,689
N/A,718
N/A,727
N/A,728
N/A,723
N/A,712
N/A,746
N/A,740
N/A,759
N/A,723
N/A,731
N/A,732
N/A,731
N/A,750
N/A,765
N/A,773
N/A,770
N/A,757
N/A,746
N/A,732
N/A,777
N/A,785
N/A,809
N/A,801
N/A,803
N/A,809
N/A,787
N/A,797
N/A,817
N/A,841
N/A,821
N/A,821
N/A,807
N/A,833
N/A,828
N/A,871
N/A,836
N/A,884
N/A,819
N/A,803
N/A,848
N/A,849
N/A,871
N/A,898
N/A,886
N/A,872
N/A,887
N/A,869
N/A,851
N/A,899
N/A,873
N/A,896
N/A,875
N/A,876
N/A,897
N/A,876
N/A,868
N/A,885
N/A,911
N/A,884
N/A,854
N/A,910
N/A,904
N/A,905
N/A,925
N/A,863
N/A,860
N/A,854
N/A,869
N/A,874
N/A,862
N/A,881
N/A,899
N/A,857
N/A,872
N/A,871
N/A,893
N/A,881
N/A,893
N/A,899
N/A,933
N/A,884
N/A,879
N/A,864
N/A,916
N/A,889
N/A,873
N/A,872
N/A,919
N/A,901
N/A,890
N/A,872
N/A,883
N/A,915
N/A,866
N/A,902
N/A,917
N/A,933
N/A,908
N/A,892
N/A,865
N/A,896
N/A,879
N/A,895
N/A,928
N/A,913
N/A,872
N/A,919
N/A,937
N/A,897
N/A,902
N/A,882
N/A,893
N/A,885
N/A,897
N/A,908
N/A,844
N/A,850
N/A,647
N/A,689
N/A,665
N/A,668
N/A,677
N/A,698
N/A,667
N/A,686
N/A,673
N/A,688
N/A,685
N/A,713
N/A,707
N/A,691
N/A,709
N/A,713
N/A,705
N/A,719
N/A,709
N/A,724
N/A,742
N/A,698
N/A,753
N/A,737
N/A,705
N/A,690
N/A,709
N/A,752
N/A,741
N/A,761
N/A,760
N/A,743
N/A,748
N/A,769
N/A,768
N/A,774
N/A,771
N/A,770
N/A,810
N/A,757
N/A,747
N/A,788
N/A,794
N/A,787
N/A,807
N/A,817
N/A,815
N/A,799
N/A,825
N/A,822
N/A,825
N/A,830
N/A,845
N/A,873
N/A,859
N/A,888
N/A,902
N/A,852
N/A,864
N/A,891
N/A,900
N/A,957
N/A,922
N/A,951
N/A,993
N/A,965
N/A,960
N/A,957
N/A,996
N/A,920
N/A,1014
N/A,997
N/A,1063
N/A,963
N/A,1033
N/A,1009
N/A,1061
N/A,1087
N/A,1050
N/A,1046
N/A,1060
N/A,1029
N/A,1077
N/A,1134
N/A,1104
N/A,1099
N/A,1089
N/A,1093
N/A,1030
N/A,1092
N/A,1062
N/A,1120
N/A,1112
N/A,1142
N/A,1147
N/A,1098
N/A,1131
N/A,1114
N/A,1104
N/A,1132
N/A,1111
N/A,1176
N/A,1110
N/A,1154
N/A,1146
N/A,1168
N/A,1135
N/A,1201
N/A,1173
N/A,1149
N/A,1130
N/A,1179
N/A,1163
N/A,1232
N/A,1206
N/A,1243
N/A,1184
N/A,1103
N/A,1171
N/A,1170
N/A,1178
N/A,1209
N/A,1210
N/A,1225
N/A,1221
N/A,1186
N/A,1178
N/A,1203
N/A,1273
N/A,1280
N/A,1278
N/A,1186
N/A,1235
